contractor_name,rig_name,loc_fed_lease_no,loc_region,site_name,field_name,well_legal_name,activity_class,activity_class_desc,activity_code,activity_code_desc,activity_duration,activity_group,expr1,activity_phase,billing_code,activity_subcode,activity_subcode2,cost_code,pickup_weight,step_no,time_from,time_to,date_ops_end,date_ops_start,event_code,event_id,event_objective_1,event_objective_2,event_type,status_end,well_id,date_time_off_location,date_report,entity_type,date_rig_pickup
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,BAJA VARILLA,SP16,VARILLAS EN DOBLE (Maniobra Pesca/Desparafinación),0.75,BAJADA,CTTA PTO PESCA + AGREGA V/B DE MBRA + MBRA EN REITERADAS OPORTUNIDADES CON DIFICULTAD POR FLOTACION DE HTA NO SE  OBSERVA PESCA  POR PRESENCIA DE PETROLEO VICOSO MBRA ASCENDE Y DESCENDENTE SIN PODER PESCAR INFORMA A SALA MTR  SR MATIA TEAR NO INFORMA DE SACAR PARA MOVER TBG ,SP04,A,255,TNP,255D,,5,2024-06-03 03:00:00,2024-06-03 03:45:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,SACA VARILLAS,SP24,VARILLAS IF EN SIMPLE,2.25,LIBRAR/SACAR,"ACONDICIONA CANALLETE PARA SACAR V/B EN SINGLE + SACA  V/B DE MBRA  + 88  V/B Ø 1  EN SINGLE + 2 V/B Ø 7/8 EN SINGLE EN OTRO CABALLETE PARA DESCARTE ,SACA PESCADOR SACA CON PRECAUCION POR SACAR CON ARRASTRE DE PETROLEO VICOSO  NOTA; OBS QUE SE TAPARCE MANGUEROTE DE  SALIDA LATERAL  DESCONECTA Y DEJA SALIDA A BANDEJA ECOLOGICA Y LURGO SE DESPOSITA A CONTENEDOR ECOLOGICO EN CONOCIMIENTO SALA MTR SR TEAR MATIA",SP03,A,251,TNP,251A,91.0,5,2024-06-03 03:45:00,2024-06-03 06:00:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,SACA VARILLAS,SP24,VARILLAS IF EN SIMPLE,1.25,LIBRAR/SACAR,EXEDE TIEMPO DE SACADO POR SACAR CON MUCHO ARRASTRE DE PETROLEO VICOSO POR CANDICION DEL POZO,SP03,A,251,TNP,251A,,5,2024-06-03 06:00:00,2024-06-03 07:15:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,HERRAMIENTA,SP24,HERRAMIENTA DE MANIOBRA,0.5,LIBRAR/SACAR,REALIZA LIMPIZA DE PISO DE TRABAJO Y HTA DE MBRA + VACIA BANDEJA ECOLOGICA POR SACAR CON MUCHO ARRASTRE DE PETROLEO VICOSO ,SP03,A,226,TNP,226O,,5,2024-06-03 07:15:00,2024-06-03 07:45:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,HERRAMIENTA,SP24,HERRAMIENTA DE MANIOBRA,0.25,LIBRAR/SACAR,CONSIGNA HTA MANUALES POR CAMBIO DE TURNO ,SP03,A,226,PE,226O,,5,2024-06-03 07:45:00,2024-06-03 08:00:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,LECTURA DE ATS/ALERTAS,SP22,REUNION DE SEGURIDAD / COORDINAR TAREAS,0.25,M. AMB/SEGURIDAD,REALIZA CHARLA DE SEGURIDAD + OPERATIVA ,SP10,C,224,PE,224A,,5,2024-06-03 08:00:00,2024-06-03 08:15:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,HERRAMIENTA,SP25,HERRAMIENTA DE MANIOBRA,0.25,DESARMAR,CHEQUEA HTAS A UTILIZAR + VERIFICA SISTEMA DE FRENO ,SP03,A,229,PE,229O,,5,2024-06-03 08:15:00,2024-06-03 08:30:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,SACA VARILLAS,SP24,VARILLAS IF EN SIMPLE,0.25,LIBRAR/SACAR,CONTINUA SACANDO 15 V/B EN SIMPLE CON PRECAUCION POR ARRSTRE DE PLEO VISCOSO PARCIAL SACADO 88 V/B Ø 1 + 17 V/B Ø 7/8 ,SP03,A,251,TNP,251A,15.0,5,2024-06-03 08:30:00,2024-06-03 08:45:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,SACA VARILLAS,SP24,VARILLAS IF EN SIMPLE,0.5,LIBRAR/SACAR,MANIOBRA EXCEDE DE TIEMPO POR SACAR V/B CON ARRSTRE DE PLEO VISCOSO ,SP03,A,251,TNP,251A,,5,2024-06-03 08:45:00,2024-06-03 09:15:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
1_CLEAR PETROLEUM,CLEAR-601,Barranca Baya,Negocio Santa Cruz,Loc. YPF.SC.CnE.a-1427,CAÑADON DE LA ESCONDIDA,YPF.SC.CnE.a-1427,,HERRAMIENTA,SP25,LIMPIEZA DE  HERRAMIENTAS,0.5,DESARMAR,REALIZA LIMPIEZA DE HTAS Y SECTOR DE TRABAJO + VACIA BANDEJA ECOLOGICA ,SP03,A,209,TNP,209M,,5,2024-06-03 09:15:00,2024-06-03 09:45:00,2024-06-11,2024-06-01,INT,5b84c,FALLA BM,CAMBIO VARILLAS POR | ROTURA | PESCA/CUPLA,INTERVENCION SSPP,COMPLETADO,xa9Z0zOH95,2024-06-11 13:30:00,2024-06-03,Parte Diario Operaciones,2024-06-01 16:30:00
